id,rate,votes,cuisine
48912,3.5,7,Street Food
46568,,0,Street Food
12830,3.3,5,Street Food
43830,,0,Street Food
21282,,0,Street Food
42360,3.3,7,Street Food
5880,4.2,767,North Indian
2605,4.2,475,North Indian
48577,3.5,49,Mithai
16427,3.7,73,Mithai
4491,3.8,110,Street Food
9107,,0,Chinese
41169,3.0,112,Chinese
6967,3.6,19,Rolls
40846,4.1,1003,Continental
14806,3.9,72,Spanish
3482,4.3,1303,North Indian
42097,4.7,1316,BBQ
38958,4.3,592,North Indian
1020,3.4,173,Arabian
4440,3.7,65,Arabian
3683,3.8,188,Arabian
13422,3.7,83,Arabian
8444,4.4,1065,North Indian
48116,4.5,1282,North Indian
